Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
0,102,833,204600,434,219,2,165,-8.795,1,431,150.062,4.0,286,1,Mask Off,Future
1,199,743,326933,359,611,1,137,-10.401,1,794,160.083,4.0,588,1,Redbone,Childish Gambino
2,344,838,185707,412,234,2,159,-7.148,1,289,75.044,4.0,173,1,Xanny Family,Future
3,604,494,199413,338,0.51,5,922,-15.236,1,261,86.468,4.0,0.23,1,Master Of None,Beach House
4,0.18,678,392893,561,512,5,439,-11.648,0,694,174.004,4.0,904,1,Parallel Lines,Junior Boys
5,479,804,251333,0.56,0.0,8,164,-6.682,1,185,85.023,4.0,264,1,Sneakin’,Drake
6,145,739,241400,472,7.27e-06,1,207,-11.204,1,156,80.03,4.0,308,1,Childs Play,Drake
7,202,266,349667,348,664,10,0.16,-11.609,0,371,144.154,4.0,393,1,Gyöngyhajú lány,Omega
8,481,603,202853,944,0.0,11,342,-3.626,0,347,130.035,4.0,398,1,I've Seen Footage,Death Grips
9,208,836,226840,603,0.0,7,571,-7.792,1,237,99.994,4.0,386,1,Digital Animal,Honey Claws
10,572,525,358187,855,143,5,649,-7.372,0,548,111.951,3.0,524,1,Subways - In Flagranti Extended Edit,The Avalanches
11,915,753,324880,748,348,10,212,-8.62,1,494,104.322,4.0,642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
12,253,603,356973,434,619,0,108,-11.062,1,342,127.681,4.0,381,1,Cemalim,Erkin Koray
13,366,762,243270,476,0.0,0,103,-12.686,1,114,130.007,4.0,367,1,One Night,Lil Yachty
14,0.44,662,247288,603,0.0,9,972,-8.317,0,793,125.011,4.0,351,1,Oh lala,PNL
15,19,637,188333,832,563,6,316,-6.637,1,163,99.988,4.0,317,1,Char,Crystal Castles
16,239,603,270827,955,451,1,119,-4.111,1,458,123.922,4.0,773,1,World In Motion,New Order
17,233,789,447907,659,49,4,184,-12.654,0,429,122.415,4.0,842,1,One Nation Under a Groove,Funkadelic
18,314,713,195429,611,0.0,1,117,-6.702,0,241,140.061,4.0,783,1,Bouncin,Chief Keef
19,242,735,214347,759,185,1,966,-6.914,0,449,109.982,4.0,763,1,C O O L - Radio Edit,Le Youth
20,702,854,249253,719,308,10,428,-9.335,0,655,128.049,4.0,471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
21,24,747,307680,0.74,369,1,995,-4.134,1,323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture
22,118,854,287086,401,0.0,9,527,-8.553,1,395,139.922,4.0,441,1,Imma Ride,Young Thug
23,596,224,132760,925,1.35e-06,11,663,-1.71,0,834,138.022,4.0,364,1,Girlfriend,Ty Segall
